at,al,an,re,er_mean,er_median,er_mode,er_q1,er_q3,in_mean,in_median,in_mode,in_q1,in_q3,ti_mean,ti_median,ti_mode,ti_q1,ti_q3,on_mean,on_median,on_mode,on_q1,on_q3,es_mean,es_median,es_mode,es_q1,es_q3,te_mean,te_median,te_mode,te_q1,te_q3,en_mean,en_median,en_mode,en_q1,en_q3,is_mean,is_median,is_mode,is_q1,is_q3,ic_mean,ic_median,ic_mode,ic_q1,ic_q3,ri_mean,ri_median,ri_mode,ri_q1,ri_q3,ra_mean,ra_median,ra_mode,ra_q1,ra_q3
"[-8247332096.0, 488082944.0, 296091136.0, -471062908.5405405, 1898376725.5316827]","[144011008.0, 567830016.0, 207915776.0, 249894539.63636363, 113226610.23425521]","[96025088.0, 271645952.0, 176038144.0, 179379215.05882353, 40757573.66330064]","[216064000.0, 536783104.0, 265753856.0, 282381300.8695652, 65442690.378760956]",-14935735040.0,304131840.0,232082944.0,-1072090624.0,3533671401.307361,183772160.0,328141056.0,239927040.0,241100364.1081081,35719384.29881291,-624160000.0,271961856.0,120098048.0,-126393600.0,396073802.0306859,183438080.0,856093952.0,236061952.0,269029248.0,145546657.93937093,-10680315904.0,456104192.0,255407872.0,-2507657984.0,3870137199.436631,232067072.0,399703040.0,278263040.0,282247078.95652175,42462271.15474972,96464128.0,263770880.0,183963136.0,179291299.84,39471211.80701961,-13671542016.0,255620864.0,-2439499008.0,-4302114742.857142,4680970928.058458,-4408354048.0,200217856.0,-2311677952.0,-1809416806.4,1774248404.5937655,-3136726784.0,247543040.0,180485376.0,-493117280.0,1239132978.852978,279927808.0,279927808.0,279927808.0,279927808.0,279927808.0
"[-1431875072.0, 463649792.0, 312383360.0, 135930485.33333334, 456567565.2372879]","[159996160.0, 271610112.0, 224061056.0, 217074944.0, 37537919.92401139]","[120064000.0, 432032000.0, 183890944.0, 196209192.96, 62971393.171095446]","[-1012857856.0, 831912192.0, 267740032.0, 254615504.0, 254510341.32041895]",207654912.0,288654848.0,243710592.0,242671436.8,22833730.931198627,184140032.0,303998976.0,240215040.0,239259553.1851852,31451969.899051674,-27199836160.0,865182976.0,-324024960.0,-5555877017.6,9049835923.096104,184084992.0,303304960.0,223902208.0,229322076.16,27680274.971342213,-5552888064.0,671908864.0,247162880.0,-749497502.4761904,1818639961.8337214,-3967671808.0,343890944.0,263730944.0,-81699152.0,1072354306.2544991,134886912.0,255940096.0,192090880.0,185620066.46153846,32980491.85276141,-17833665024.0,319844864.0,-1179628032.0,-3418786033.7777777,5163073016.914291,119395072.0,360083968.0,187817856.0,215071648.0,92787928.08988445,-13055768832.0,223309056.0,-4544909056.0,-5150678579.2,5126397792.650097,-3455341056.0,-3455341056.0,-3455341056.0,-3455341056.0,-3455341056.0
"[-7328152064.0, 752115968.0, 307628032.0, -376958681.6, 1826472278.5427701]","[120436992.0, 920224000.0, 207620480.0, 268856601.6, 221906125.40558586]","[144148224.0, 359836160.0, 199213056.0, 218787840.0, 74407519.59551165]","[-888706048.0, 592026880.0, 239977984.0, 122180562.8235294, 354684751.2940517]",215726080.0,319513856.0,235029888.0,243561456.0,26770899.893316697,176032000.0,271203072.0,231833856.0,223930999.46666667,25337192.81035167,-5056307200.0,296201984.0,-1055910016.0,-1763838208.0,2015364782.456491,191976960.0,256620032.0,227653376.0,229771904.0,18723939.3239428,231921152.0,346164992.0,268064512.0,268259776.0,33956353.2631293,-3861239040.0,319798016.0,255791104.0,-461636754.28571427,1423216853.8997755,142764032.0,639565056.0,183969024.0,236165120.0,141234818.7579174,191790848.0,248181248.0,223912960.0,222899968.0,17998641.60748454,136027904.0,208016896.0,137129984.0,160391594.66666666,33679178.93298174,-521649987477.41656,-521649987477.41656,-521649987477.41656,-521649987477.41656,-521649987477.41656,437367040.0,437367040.0,437367040.0,437367040.0,437367040.0
"[-5906754048.0, 2539636992.0, 208040192.0, -33690946.06451613, 1450092247.780587]","[-592200679936.0, 442113024.0, 207258112.0, -22779921578.666668, 106189477722.64627]","[-34027821056.0, 613410816.0, 205452032.0, -1110772796.952381, 5485703014.982566]","[-2671659008.0, 359160064.0, 200634880.0, -168136218.25641027, 778733499.4914498]",-95785369088.0,633658880.0,234525056.0,-5943684313.6,16119294312.788101,-21459942912.0,1126701056.0,212014080.0,-941479644.6896552,3893058679.4239955,-52447934976.0,479560192.0,-6827406848.0,-14071772685.473684,16688169115.484684,-18752069888.0,852539904.0,235690368.0,-702307365.6470588,3606672568.949816,-37639283200.0,659204096.0,299772416.0,-4159976101.647059,8078533657.559581,-1906159872.0,689363968.0,196548864.0,74749317.12,450954344.8687403,-32939286016.0,815590912.0,193828608.0,-2493190331.076923,7444116056.887728,-45167462912.0,376561152.0,111916032.0,-5088912621.037037,9642733421.795408,-45848009984.0,315915008.0,266744576.0,-4345355366.4,13834265456.65227,-46721817856.0,-2735756032.0,-21461156992.0,-21928708896.0,13750606745.721272,-8309692928.0,368777984.0,-5500998144.0,-4734199259.428572,3093693723.530169
"[169349120.0, 1119767040.0, 225198592.0, 362428467.2, 295164554.4706123]","[199218176.0, 2036370176.0, 217550848.0, 481999030.85714287, 635019588.2179445]","[159291136.0, 275074048.0, 198994944.0, 211309195.63636363, 33158129.49063323]","[-846522112.0, 450859008.0, 282519040.0, 108888203.63636364, 398687468.2161776]",240378112.0,726967808.0,269148928.0,308223146.6666667,116008981.63897917,268979968.0,1349211136.0,319881984.0,392792432.64,248873437.0442204,162372096.0,1747241216.0,387533440.0,526243811.5555556,368086353.1266489,306881024.0,358577920.0,331385088.0,331370666.6666667,15149173.439107375,-27469860864.0,1050381824.0,-2044989952.0,-5625601043.692307,8453080673.158146,213172992.0,1100730880.0,250421248.0,410423040.0,345573904.35576695,147521024.0,437351936.0,232276096.0,258775120.0,85800040.48399605,-18401390848.0,504009984.0,-1628421504.0,-3876566509.714286,5327113960.181157,286537984.0,496189184.0,293422848.0,358716672.0,97248372.75336875,-8999572224.0,268259072.0,212286976.0,-1908039232.0,3494467535.818643,417146880.0,2116094976.0,761876992.0,1014248960.0,672504971.7217336
"[160256768.0, 456385024.0, 212459392.0, 246884096.0, 75786558.65118796]","[151304960.0, 454983936.0, 195927040.0, 229818567.1111111, 86258060.91870649]","[127687936.0, 248986880.0, 206277120.0, 204857014.85714287, 35892330.14778956]","[148520192.0, 611808000.0, 273521152.0, 273951601.7777778, 132200909.63205202]",248071168.0,307623936.0,272455424.0,273037750.85714287,18711340.515114747,264379904.0,468762880.0,312652800.0,327689569.52380955,48918226.43269215,147112960.0,2355311104.0,383376512.0,584801920.0,606751786.970183,274024960.0,493129984.0,342047744.0,356950134.15384614,56766497.49012897,-19471128064.0,434653952.0,328822528.0,-2483013606.4,5940805219.134417,144282112.0,259063040.0,218777984.0,207832160.0,35120781.92911041,161424128.0,300275968.0,212012032.0,221729264.94117647,35559992.9571927,-16993508864.0,740768000.0,-7001879040.0,-6449994358.153846,6889850832.529788,324463872.0,369316096.0,346889984.0,346889984.0,22426112.0,203638016.0,894461952.0,262734080.0,399111424.0,239178114.91310868,395176960.0,759079168.0,470372096.0,518461388.8,126937496.60387857
"[-6857076992.0, 636465152.0, 210937856.0, -379180603.0769231, 1896930376.3280115]","[176336128.0, 399083008.0, 214962944.0, 230582606.76923078, 58031897.891424485]","[148060160.0, 815389952.0, 177028096.0, 279676435.6923077, 222730513.53417617]","[157912064.0, 346225152.0, 246189568.0, 243634144.0, 58597460.81574143]",228367872.0,465334016.0,283555072.0,289864820.3636364,51079997.12714535,266125056.0,1135208960.0,316944128.0,372951673.2631579,187649261.75296614,137723904.0,704718848.0,412547456.0,433333248.0,161316962.68422738,288084992.0,387816960.0,314576512.0,324688192.0,29074382.309423488,-11632802048.0,333195008.0,307619840.0,-2885813387.6363635,4583075871.674391,127526144.0,473379072.0,214856192.0,224366216.53333333,73199854.66697094,180252160.0,442692864.0,210744064.0,234897718.85714287,73398680.89076596,-13795431936.0,269177088.0,-6846758912.0,-6005891446.153846,5416322547.543218,244050944.0,244050944.0,244050944.0,244050944.0,244050944.0,178404096.0,925718016.0,216140032.0,350203033.6,288308523.1621098,-12208278016.0,568057088.0,438840064.0,-2056606976.0,5076059686.592584
"[111412992.0, 317376000.0, 134515456.0, 174592096.0, 77867679.40553102]","[131662080.0, 228026880.0, 172182016.0, 181426944.0, 40281520.57100889]","[128262912.0, 303171072.0, 187450496.0, 192885518.2222222, 41602226.01977296]","[191653120.0, 360097024.0, 226778880.0, 240917924.57142857, 44825811.3572546]",200452864.0,435881984.0,298761984.0,308082270.31578946,54251130.861871034,152009984.0,708068864.0,215192064.0,242311213.17647058,125681738.7643458,-9118974976.0,463454976.0,227918080.0,-986097696.0,3085936222.3570924,135087872.0,467564032.0,175684864.0,196359047.52941176,72609334.99471548,-9768334080.0,381998848.0,298283008.0,-1217659318.857143,3498598209.460525,196251136.0,466147072.0,255912960.0,265263655.3846154,69438726.40869142,127537920.0,217801984.0,174054016.0,180882201.6,29734854.43266278,-36786251008.0,550727936.0,222103040.0,-3426014826.6666665,10160401556.640894,163992832.0,273044992.0,220659968.0,218660352.0,42773472.58389596,156582144.0,240398848.0,177901056.0,188195776.0,31819836.526620686,202155008.0,318546944.0,260350976.0,260350976.0,58195968.0
"[127877888.0, 394728960.0, 137554432.0, 214690986.66666666, 114492810.28998142]","[115942912.0, 251911936.0, 174047488.0, 173946752.0, 44591805.82874869]","[136147968.0, 298576896.0, 174301568.0, 185127056.0, 49175409.72438188]","[163811072.0, 378233088.0, 242784512.0, 243607658.66666666, 51040871.691598095]",200029952.0,378134016.0,309396992.0,306275031.57894737,40113158.44115033,109003008.0,260203008.0,198172544.0,195513799.1111111,34877658.06631697,-744894976.0,719351040.0,-122907008.0,-96814976.0,493710890.26779276,110880000.0,498329088.0,183543936.0,200405191.1111111,82645970.4900991,-4158892800.0,425110784.0,292684032.0,-588560018.2857143,1364719260.2730525,164056832.0,349462016.0,279628032.0,265924821.33333334,57548169.75482494,112009984.0,279548928.0,185308928.0,185209437.0909091,40988439.20495284,-3925521920.0,314447872.0,226140032.0,-379390192.0,1288149731.3228858,136462848.0,325658880.0,204460032.0,217730673.7777778,59322542.47496554,-5167352832.0,246854144.0,-2460249344.0,-2460249344.0,2707103488.0,334350848.0,432231168.0,374161920.0,380247978.6666667,40190540.706292085
"[-165233152.0, 667336192.0, 195369984.0, 241441389.7142857, 236603441.3901658]","[95439104.0, 553840128.0, 179053056.0, 240044117.33333334, 139529985.5745874]","[95811072.0, 234364160.0, 184651008.0, 177150057.4117647, 34201845.17469673]","[200178176.0, 372408064.0, 242403968.0, 251564944.0, 48052208.51007454]",252459008.0,872148992.0,324264064.0,368114204.4444444,140460109.4552423,144289024.0,570354944.0,186637440.0,212754633.14285713,102628266.19962706,265504000.0,331706112.0,274027008.0,292525465.6,28889147.9027764,148850176.0,256420864.0,176765184.0,189540590.93333334,29116391.33400251,-15293502976.0,336754944.0,63509504.0,-1862796434.2857144,4213119374.699928,193133056.0,477124864.0,310483456.0,303217609.14285713,75858118.35667856,150916096.0,409602048.0,161895936.0,201367125.33333334,77700577.40861335,-7918493184.0,909933056.0,238908160.0,-736542020.2666667,2372924808.8402967,168443904.0,237982976.0,207745536.0,207665493.33333334,23213106.633163907,171662080.0,258266112.0,214964096.0,214964096.0,43302016.0,324342016.0,340786944.0,329099008.0,331409322.6666667,6909514.195443716
